"imputation","analysis","n","limited","colectomy","RD_pp","CSM_limited_pct","CSM_colectomy_pct","max_abs_weighted_SMD","ESS_limited","ESS_colectomy"
12,"Q4",1390,497,893,-3.53296120155533,24.2587787289405,20.7258175273852,0.00415860447319372,486.497707037208,844.95856161982
12,"Q5",1390,462,928,-4.98436609389481,38.2596893216853,33.2753232277905,0.000525766750622625,453.319459640598,869.920403051515
12,"bottom_decile",696,386,310,2.0737416430356,4.83697047138743,6.91071211442303,0.00293671300078214,359.775682961662,302.672395670358
12,"risk_lt_5pct",586,326,260,2.28479201413029,5.13458145053131,7.4193734646616,0.0130909670800392,297.981635034863,250.918427707793
13,"Q1",1391,710,681,0.415352955053908,5.11590698002698,5.53125993508089,0.00495008091275056,665.384278806161,654.002349659129
13,"Q2",1390,643,747,-2.0824283843438,11.7034968746866,9.62106849034282,0.000955721743085193,599.095554551855,697.332050187989
13,"Q3",1390,565,825,-2.7758268487072,15.0243332194994,12.2485063707922,0.00235903626741602,539.623354608043,768.682595919443
13,"Q4",1390,501,889,-3.75039140004029,24.8373406971962,21.0869492971559,0.00242338801800427,490.966340726179,838.974508863627
13,"Q5",1390,458,932,-4.62508059586663,38.4797232692523,33.8546426733857,0.00118636494845915,448.932709097433,874.56078121517
13,"bottom_decile",696,392,304,1.44159261265054,4.95578955251903,6.39738216516957,0.013712762323669,355.632266446343,294.694624195495
13,"risk_lt_5pct",637,365,272,2.21609339609977,4.88037451979322,7.09646791589299,0.0111104204518208,331.696762529879,264.579940360013
14,"Q1",1391,706,685,-0.53080214943115,6.4550421616378,5.92424001220665,0.00549046480500028,666.184319659666,659.554588510299
14,"Q2",1390,641,749,-2.30366475683415,11.5961939627573,9.29252920592318,0.000854469870340034,596.677457788776,701.236573368359
14,"Q3",1390,572,818,-2.01043722760457,14.4310716102874,12.4206343826829,0.000101620744834242,545.121913001699,763.801162316667
14,"Q4",1390,495,895,-3.10930711082464,23.9802722656522,20.8709651548276,0.00200625494185233,485.264266378355,842.216337950568
14,"Q5",1390,463,927,-5.11236410523804,39.0108060689783,33.8984419637403,0.00191855236373434,451.346333632315,860.840264184154
14,"bottom_decile",696,380,316,2.53563157180968,4.50831405516007,7.04394562696975,0.00763219294236114,349.837225753087,303.852716930244
14,"risk_lt_5pct",574,319,255,2.98826846386883,3.97051887905567,6.95878734292449,0.0129318891954077,291.418637394505,243.991714408655
15,"Q1",1391,710,681,-1.20820348333281,6.48496040201664,5.27675691868384,0.00245393178148249,670.235618219975,659.706977150348
15,"Q2",1390,635,755,-1.97765677625949,11.3705932311364,9.39293645487692,0.00236165266970012,596.944248760004,714.176821790331
15,"Q3",1390,576,814,-0.349790241698536,13.821302410853,13.4715121691545,0.00114814045397412,546.607609261802,751.861509072982
15,"Q4",1390,502,888,-4.48057756892849,24.1592124087235,19.678634839795,0.000500120631507907,489.206649288815,833.246938415313
15,"Q5",1390,454,936,-4.75134718792475,38.994516457937,34.2431692700123,0.00286792001634117,444.566125895874,878.178403353958
15,"bottom_decile",696,382,314,2.04422939270805,3.97428631430367,6.01851570701172,0.00262402965681978,350.424985551771,305.738246461037
15,"risk_lt_5pct",584,322,262,2.02700749275804,4.57558543048546,6.6025929232435,0.0125803749099678,288.668941629394,250.606389434328
16,"Q1",1391,705,686,-0.780158039630723,6.37800347136288,5.59784543173216,0.00351773651794519,661.618784224632,655.931633493874
16,"Q2",1390,643,747,-2.47208631707348,9.98222483923797,7.5101385221645,0.00564064724445602,594.603071204403,703.508482356251
16,"Q3",1390,564,826,-1.23614140356515,15.1521825648666,13.9160411613015,0.00232545104321654,539.856086446345,771.736745314498
16,"Q4",1390,498,892,-4.75930584134056,25.0650174874448,20.3057116461042,0.00343708652438796,486.751267926082,841.790218906881
16,"Q5",1390,467,923,-4.77771997231028,38.7365364523196,33.9588164800093,0.001434522255595,453.07211123477,856.857717629694
16,"bottom_decile",696,390,306,0.282648511950579,5.65887514378144,5.94152365573202,0.00249296971065107,357.337288674331,296.313561316036
16,"risk_lt_5pct",558,319,239,1.62848951875328,4.24713602317312,5.8756255419264,0.0102298987437999,283.893516167442,226.589347200288
17,"Q1",1391,716,675,0.631233924588691,4.75295963254172,5.38419355713042,0.00998852609782329,679.107325704833,654.869620037572
17,"Q2",1390,649,741,-4.25401090887424,13.2560808920882,9.00206998321395,0.00121828476147548,607.644155615297,698.514314091633
17,"Q3",1390,552,838,-1.52776920411671,14.3523152214229,12.8245460173062,0.000940637552551254,525.136323019228,765.416033542002
17,"Q4",1390,500,890,-4.35094974585123,24.4582421599691,20.1072924141178,0.0033087351850291,486.94148313948,831.957285648103
17,"Q5",1390,460,930,-4.69599192981347,38.6914668271949,33.9954748973815,0.000292845478116279,450.482467236057,872.396933063055
17,"bottom_decile",696,386,310,1.30006786259932,4.75440258072875,6.05447044332807,0.00384002868230567,356.305328485014,300.10333139424
17,"risk_lt_5pct",604,337,267,0.809214857827818,5.61371353242094,6.42292839024876,0.0156057586838394,307.281462278834,256.376878422695
18,"Q1",1391,729,662,-0.732231449621225,6.4591552069523,5.72692375733107,0.00675853665263828,690.713022216774,637.693046529106
18,"Q2",1390,640,750,-1.42949919485071,9.58979489813094,8.16029570328023,0.0026613532817892,587.477106509978,700.465230720092
18,"Q3",1390,554,836,-1.06407417269796,14.8384229219589,13.7743487492609,0.000749163118081899,525.727682290515,769.809394921304
18,"Q4",1390,486,904,-5.21706962967632,25.0744168486796,19.8573472190033,0.00186441975064037,476.344287181126,846.591432927507
18,"Q5",1390,468,922,-5.49065736798553,39.5910033272948,34.1003459593093,0.00122407555578271,456.953422686193,860.553378727468
18,"bottom_decile",696,390,306,2.31132501442492,4.48777400042955,6.79909901485447,0.0113119031926942,362.679623967197,298.403263472124
18,"risk_lt_5pct",545,308,237,2.75057388485208,3.65186204458912,6.40243592944121,0.0135387749447716,284.170676063803,229.930166439884
19,"Q1",1391,717,674,-0.538166976251549,6.639556636985,6.10138966073345,0.00195154521043849,683.064492587262,654.166167028902
19,"Q2",1390,639,751,-3.61058956209242,11.0805522491878,7.46996268709542,0.00279914207758558,592.572401553162,702.267475708317
19,"Q3",1390,553,837,-1.13499468366314,14.2702662398588,13.1352715561956,0.00328200317547516,523.80049128928,769.900018901304
19,"Q4",1390,511,879,-3.28028417995514,24.0985558408945,20.8182716609393,0.00509205658984951,500.86577762525,835.653162551798
19,"Q5",1390,457,933,-5.15576298345297,39.3681548002852,34.2123918168322,0.00157343509734735,447.878239147661,873.133954738915
19,"bottom_decile",696,387,309,0.946921501839029,5.18238348258086,6.12930498441989,0.0139299325552274,356.623717833846,296.956778548917
19,"risk_lt_5pct",657,366,291,1.56536945968771,4.88228746283631,6.44765692252403,0.0172233728958499,337.776999861303,279.453504549795
20,"Q1",1391,706,685,-0.786632655276713,6.12700277433791,5.34037011906119,0.00526887638469348,667.932848245416,662.206946965258
20,"Q2",1390,658,732,-4.20938920648424,12.5786469944399,8.36925778795568,0.0022262072129889,612.020010581575,686.998201098831
20,"Q3",1390,566,824,-0.905215958773412,14.4033412503121,13.4981252915387,0.00436734082212475,534.026402772298,750.987348402329
20,"Q4",1390,486,904,-0.688385628633303,21.3477432145418,20.6593575859085,0.00215071260079555,475.286331182342,845.429434009326
20,"Q5",1390,461,929,-6.96574345694153,40.2985194872065,33.3327760302649,0.000405875616195408,453.213170451047,882.840836027562
20,"bottom_decile",696,380,316,1.67433956505455,4.89959179567233,6.57393136072688,0.0174543125907068,347.103504943957,305.300002463883
20,"risk_lt_5pct",629,347,282,2.66092709698101,4.18674842359517,6.84767552057618,0.0219536105957058,315.546737538752,272.674892779008
