"replicate","Q1","Q2","Q3","Q4","Q5","bottom_decile","risk_lt_5pct","overall"
97,0.0128649059166537,-0.0470774171875918,-0.0821661623278525,-0.0229977576741016,-0.0249688051511786,0.012336893590208,0.0167418335757303,-0.0335102727611106
98,-0.00849529303127775,-0.0189960997007281,-0.0287547106429465,-0.0511950161667093,-0.0918951406163889,-0.00172370787302218,-0.00617299881826998,-0.0413921017628303
99,-0.000469500686367245,-0.00378814879846916,-0.00982955382467968,-0.0365212359168722,-0.101643692846194,0.0202104174366682,0.0285990305834783,-0.0286926246085738
100,0.0181780757407038,-0.0192132240062556,-0.0216475067935669,-0.0775806455007173,-0.014469255915721,0.0286066795221405,0.0285168009044541,-0.0207062881658064
101,-0.0148865613441918,-0.053884123684932,0.00109502904110706,-0.069502239906605,-0.0391886558029583,0.00781498553927444,-0.0102019400429532,-0.0333606645154673
102,0.00342721870321903,-0.00347146892374864,0.0214696139623714,-0.0325028631228171,-0.0574329991072519,0.0118464692090831,0.020228303439522,-0.0136598620000926
103,-0.00582596264460034,-0.0342445748674982,-0.0515653327111448,-0.0387651795142078,-0.0840831534908534,-0.024435600610805,-0.0201073671004367,-0.0394697012893172
104,-0.00521510678237763,-0.0148880811898598,-0.000336209027315404,-0.0233842860932275,-0.0362445516968222,0.0366233968553163,0.0529234286717721,-0.0178210209017733
105,-0.0136512739041514,-0.0290225491449016,-0.0122730349327046,0.00773714186507876,-0.0687682870446202,0.0111735935030592,0.00414179799088741,-0.0187989071589667
106,-0.00295085470408779,-0.0214024869194093,-0.0102475933024967,-0.0360255731748715,-0.0886928345906468,0.0221305405171866,0.0362403621396804,-0.0306975346688414
107,-0.00574973023746268,-0.0304700639655746,-0.0342335093823336,-0.0704083605955987,-0.00691215937538359,0.0309438191954422,0.0309438191954422,-0.0269534086443013
108,0.000712715699349858,0.0150619154412818,-0.0414858438716624,-0.0532970536796925,-0.0354485204687857,0.0194999131576727,0.0260833504358713,-0.0168710557074026
109,0.0104111115117148,-0.0390235468414293,0.0158020724508448,-0.0158923957277766,-0.0590675784134,0.0149858954622183,0.0066228553645097,-0.0192633932684816
110,0.013773481067926,-0.0192134281243265,-0.0595025829781899,-0.0164818120219546,-0.0747526476722924,0.0523480566755231,0.0664155155220674,-0.0281703019375429
111,0.0265444709633884,-0.036659100379201,-0.000498960760882822,-0.0474731280703149,-0.0927962178931117,0.0552516240896476,0.0505639057081206,-0.0313514936463017
112,0.0175359244040927,-0.0249955237971599,-0.0402111126022118,0.00903413604422473,-0.118272846319406,0.0672839604615157,0.0706983576215147,-0.0277838828061504
113,-0.0136875842998911,-0.0261663604387829,-0.0351868999336137,-0.0616478151968287,-0.0120572574451499,0.00735602466047349,0.0105525911465866,-0.0305587290687521
114,0.0170237979920975,-0.032598310925865,-0.0127924382276773,-0.0291237839087765,-0.0714503481223414,0.0596022348073359,0.0443562594462268,-0.0254802319389177
115,0.0120871445788525,-0.0557052450732945,0.0036395549343986,-0.0764245947479525,-0.0717780009647594,0.0189176592965169,0.0109185747205681,-0.0355293395361275
116,-0.00900242933920975,-0.0439494313897156,0.013830817047351,-0.0605264055593841,-0.112708788052982,0.00825480917302646,0.00754591566802021,-0.0426849024541359
117,-0.00510708631475375,-0.00320132366783016,0.0449671837645949,-0.0319087760369668,-0.0845980422209209,0.0288760745963565,0.00883442628528888,-0.017307996218217
118,0.00191041279683551,-0.0449059957508122,-0.00609953176263256,-0.0697613380034317,-0.0281142840803477,0.0324096610137421,0.0294393679621277,-0.027324224947927
119,-0.00662658004612299,-0.0372997381841533,0.0136071706571544,-0.0515799815460498,-0.0654098314874881,0.0183259730637895,0.0259932857563347,-0.0290214559850229
120,0.0110473632780822,0.0147835639134942,0.0163443030783663,-0.0320577871351586,-0.115902488777124,0.047121652606963,0.0630468885927531,-0.0163013475331948
121,0.0277595106803277,-0.0437287215267802,-0.00931277315238632,-0.00488074624726562,-0.0733809226108711,0.0561045378813137,0.0546018817721689,-0.0210029491437921
122,0.0143364641217308,-0.00965418974936653,0.011004669967576,-0.0261461937654087,-0.00284982916083909,0.0332091831182182,0.0498710334339022,0.00170828385285504
123,-0.0155747453019956,-0.0293440569232053,-0.0317908946380947,-0.0416254391240129,-0.0568596986161899,-0.000450773764282861,0.0290950340620966,-0.0355943034219211
